Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed,latitude,longitude
25719,The white cresent Hospital,The white cresent Hospital,,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,87,4,91,Nandi,Chesumei,Chesumei,Chemundu/Kapng'etunyi,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25644,Health Gate Hospital,Health Gate Hospital,,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,70,1,71,Nairobi,Starehe,Starehe,Pangani,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25505,Sheywe Community Hospital Limited,Sheywe Community Hospital Limited,17097,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,65,0,65,Kakamega,Shinyalu,Shinyalu,Isukha South,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25539,Africa Inuka Hospital,Africa Inuka Hospital,16927,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,60,5,65,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25490,T.M.C,Tamani Medical Center,,Level 4,Medical Center,MEDICAL CENTER,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,63,2,65,Kirinyaga,Gichugu,Kirinyaga East,Kabare,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25454,Mediforte Hospital Limited,Mediforte Hospital Limited,PVT-PJUDQIR,Level 4,Secondary care hospitals,HOSPITALS,Non-Governmental Organizations,Non-Governmental Organizations,Ministry of Health,100,6,106,Kisii,Kitutu Chache South,Kitutu Chache South,Kitutu Central,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25412,Ammusait General Hospital,Ammusait General Hospital,,Level 4,Secondary care hospitals,HOSPITALS,Non-Governmental Organizations,Non-Governmental Organizations,,40,10,50,Turkana,Turkana West,Turkana West,Kakuma,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25432,Sanitas Family Hospital Limited,Sanitas Family Hospital Limited,15924,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Ministry of Health,31,0,31,Meru,Tigania West,Tigania West,Kianjai,Operational,Yes,Yes,Yes,No,,Yes,Yes,No,,
25357,Diani Beach Hospital Main,Diani Beach Hospital Main,333,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Pharmacy & Poisons Board,40,10,50,Kwale,Msambweni,Msambweni,Gambato Bongwe,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25386,Royalstar Family Hospital,Royalstar Family Hospital,17018,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,26,2,28,Makueni,Makueni,Makueni,Wote,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25409,Jekim Hospital Nkubu.,Jekim Hospital Nkubu,16774,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,80,10,90,Meru,South Imenti,Imenti South,Nkuene,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25364,Life Point Hospital,Life Point Hospital,16755,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,26,4,30,Kiambu,Kabete,Kabete,Gitaru,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25371,Gracepark Medical Centre,Gracepark Medical Centre,3690,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,45,8,53,Meru,North Imenti,Imenti North,Municipality,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25358,Palmcare Sinai Hospital,Palmcare Sinai Hospital,17004,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,50,25,75,Uasin Gishu,Moiben,Moiben,Kimumu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25246,Reliance Hospital Limited,Reliance Hospital Limited,16911,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,50,10,60,Nairobi,Langata,Langata,South C,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25266,Josmori Hospital,Josmori Hospital,16873,Level 4,Secondary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,24,5,29,Kilifi,Rabai,Rabai,Rabai/Kisurutini,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25503,Oakwood Hospital,Oakwood Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,45,0,45,Kiambu,Kikuyu,Kikuyu,Karai,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25166,Mumias Level IV Hospital,Mumias Level IV Hospital,9651,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,100,0,100,Kakamega,Mumias West,Mumias West,Mumias Central,Operational,Yes,No,No,No,,Yes,Yes,No,,
25163,Halisi Family Hospital,Halisi Family Hospital,16840,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,25,0,25,Kajiado,Kajiado East,Kajiado East,Kaputiei North,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25155,St. Joseph RiftValley Hospital,St. Joseph RiftValley Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,40,5,45,Nakuru,Gilgil,Gilgil,Gilgil,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
25045,Mwai Kibaki Teaching and Referral Hospital,Mwai Kibaki Teaching and Referral Hospital,GK-016683,Level 4,Specialized & Tertiary Referral hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Kenya MPDB,350,50,400,Nyeri,Nyeri South,Nyeri South,Iria-ini,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24981,Glogoh Hospital Limited,Glogoh Hospital Limited,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,75,12,87,Uasin Gishu,Kapseret,Kapseret,Langas,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24979,Kenyatta University Teaching Refferal and Research Hospital,Kenyatta University Teaching Refferal and Research Hospital,,Level 4,Comprehensive Teaching & Tertiary Referral Hospital,HOSPITALS,Public Institution - Parastatal,Ministry of Health,Ministry of Health,600,30,630,Nairobi,Roysambu,Roysambu,Kahawa,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24952,Frevane Hospital,Frevane Hospital,16079,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,50,5,55,Embu,Manyatta,Manyatta,Mbeti North,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24947,Myanga Nursing HomeAnnex,Myanga Nursing Home,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,20,0,20,Bungoma,Bumula,Bumula,Kimaeti,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24940,Fairmont Hospital,Fairmont Hospital,16385,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,20,4,24,Kisumu,Kisumu Central,Kisumu Central,Railways,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24929,Mediheal Hospital (Nakuru) Annex,Mediheal Hospital (Nakuru) Annex,PVT-RXUKKVE,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,30,4,34,Nakuru,Nakuru Town East,Nakuru West,London,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24828,RFH Specialist Hospital,RFH Specialist Hospital,16476,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,100,10,110,Nairobi,Kasarani,Kasarani,Ruai,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24823,LIGHTHOUSE HOSPITAL AND REHABILITATION CENTRE,LIGHTHOUSE HOSPITAL AND REHABILITATION CENTRE,14409,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,0,Uasin Gishu,Kesses,Kesses,Racecourse,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24816,The Nairobi Women's Hospital (Meru),The Nairobi Women's Hospital (Meru),16204,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,47,4,51,Meru,North Imenti,Imenti North,Municipality,Operational,No,No,No,No,,Yes,Yes,No,,
24793,ENOCKHAN HOSPITAL,ENOCKHAN HOSPITAL,16173,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,45,2,47,Migori,Suna East,Suna East,Kwa,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24781,Afrismart Group of Hospitals LTD,Afrismart Group of Hospitals LTD,16299,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,3,0,3,Nairobi,Embakasi South,Embakasi South,Pipeline,Operational,No,Yes,Yes,Yes,,Yes,Yes,No,,
24762,Nairobi Womens Hospital,Nairobi Women's Hospital (Mvita),6693387,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,30,0,30,Mombasa,Mvita,Mvita,Shimanzi/Ganjoni,Operational,Yes,No,No,No,,Yes,Yes,No,,
24724,Living Room International,Living Room International,,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,48,0,48,Uasin Gishu,Ainabkoi,Ainabkoi,Kapsoya,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24696,The Fork Hospital (k)Ltd,The Fork Hospital (k)Ltd,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,52,4,56,Machakos,Mavoko,Athi River,Kinanie,Operational,Yes,No,No,No,,Yes,Yes,No,,
24671,Vihiga Private General and Marternity Hospital,Vihiga Private General and  Marternity Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,30,15,45,Vihiga,Sabatia,Sabatia,West Sabatia,Operational,No,No,No,No,,Yes,Yes,No,,
24665,Getrudes Childrens Hospital,Getrudes Childrens Hospital (Thika),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,,0,0,0,Kiambu,Thika Town,Thika Town,Township,Operational,No,No,No,No,,Yes,Yes,No,,
24658,The Wilkista Memorial Hospital,The Wilkista Memorial Hospital,16244,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,18,2,20,Kajiado,Kajiado East,Kajiado East,Kaputiei North,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24620,WAJIR MATERNITY AND NURSING HOME,WAJIR MATERNITY AND NURSING HOME,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,,30,10,40,Wajir,Wajir East,Wajir East,Barwago,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24639,Rapha Hospital and Clinics,Rapha Hospital and Clinics,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,40,0,40,Uasin Gishu,Kesses,Kesses,Racecourse,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24587,Bristol Park Hospital Fedha,Bristol Park Hospital Fedha,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,45,8,53,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24563,Nairobi Adventist Hospital,Nairobi Adventist Hospital Limited,A9305,Level 4,Primary care hospitals,HOSPITALS,Seventh Day Adventist,Faith Based Organization,Kenya MPDB,80,5,85,Nairobi,Westlands,Westlands,Karura,Operational,Yes,No,No,No,,Yes,Yes,No,,
24492,Wanda Medical Centre,Wanda Medical Centre,16868,Level 4,Medical Center,MEDICAL CENTER,Private Practice - General Practitioner,Private Practice,Kenya MPDB,19,0,19,Bungoma,Kabuchai,Kabuchai,Kabuchai/Chwele,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24488,Radiant Group Of Hospitals Kasarani Sportsview,Radiant Group Of Hospitals Kasarani Sportsview,15779,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,100,0,100,Nairobi,Kasarani,Kasarani,Clay City,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24483,Care And Cure Hospital,Care And Cure Hospital,15778,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,70,10,80,Kisii,Kitutu Chache South,Kitutu Chache South,Kitutu Central,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24484,Athi Complex Galaxy Hospital,Athi Galaxy Complex Hospital,5951,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,18,0,18,Kajiado,Kajiado East,Kajiado East,Kaputiei North,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24455,M H C L,MEDICYL HOSPITAL  CARE LTD,10888,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,30,5,35,Mandera,Mandera West,Mandera West,Takaba,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24395,Grandmed Hospital,Grandmed Hospital,15662,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,30,30,60,Siaya,Ugenya,Ugenya,North Ugenya,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24347,Alexandria General Hospital,Alexandria General Hospital,15535,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,50,2,52,Nandi,Chesumei,Chesumei,Chemundu/Kapng'etunyi,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24343,Katani Hospital,Katani Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Kenya MPDB,161,8,169,Machakos,Mavoko,Athi River,Muthwani,Operational,Yes,No,No,No,,Yes,Yes,No,,
24342,Komarock Healthcare-Kathwana,Komarock Healthcare-Kathwana,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,,98,10,108,Tharaka Nithi,Chuka/Igambang'ombe,Igambangombe,Igambang'ombe,Operational,Yes,No,No,No,,Yes,Yes,No,,
24590,ACK Emmanuel Mission Hospital,ACK Emmanuel Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,0,0,0,Kiambu,Kikuyu,Kikuyu,Kikuyu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24328,Camel Hospital,Camel Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,70,15,85,Wajir,Wajir East,Wajir East,Township,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24317,Nightingale Medical Centre-Milimani,Nightingale Medical Centre-Milimani,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,80,0,80,Kisumu,Kisumu Central,Kisumu Central,Market Milimani,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24281,Shammah Nursing Home,Shammah Nursing Home,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Nurse / Midwifery,Private Practice,Kenya MPDB,42,0,42,Kirinyaga,Mwea,Kirinyaga South,Tebere,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24280,Baspen Syokimau  cottage Hospital,Baspen Syokimau Cottage Hospital,15777,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,22,5,27,Machakos,Mavoko,Athi River,Syokimau/Mulolongo,Operational,Yes,No,No,No,,Yes,Yes,No,,
24255,Shamaal Hospital,Shamaal Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,,0,0,0,Mandera,Mandera East,Mandera East,Township,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24242,The Dawameds Hospital,The Dawameds Hospital Limited,15642,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,35,4,39,Bungoma,Kanduyi,Kanduyi,Township,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24235,Wima Hospital,Wima Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,22,0,22,Migori,Kuria East,Kuria East,Nyabasi East,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24189,Neocare Specialist Hospital,Neocare Specialist Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,100,0,100,Kisii,Bomachoge Chache,Bomachoge Chache,Boochi/Tendere,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24173,Nairobi Women hospital - Nakuru CBD,Nairobi Women Hospital - Nakuru CBD,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,,27,0,27,Nakuru,Nakuru Town East,Nakuru East,Biashara,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24172,Tophill Hospital Eldoret,Tophill Hospital Eldoret,14842,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,80,0,80,Uasin Gishu,Kesses,Kesses,Racecourse,Operational,Yes,No,No,No,,Yes,Yes,No,,
24171,Neema Hospital Ltd. Annex,Neema Hospital Ltd. Annex,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,,57,15,72,Kitui,Kitui Central,Kitui Central,Township,Operational,Yes,No,No,No,,Yes,Yes,No,,
24150,Thika Nursing  Hospital,Thika Nursing Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,,150,2,152,Kiambu,Thika Town,Thika Town,Kamenu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24143,Tenwek Hospital Annex-Bomet,Tenwek Hospital Annex (Bomet),15516,Level 4,Primary care hospitals,HOSPITALS,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,8,0,8,Bomet,Chepalungu,Chepalungu,Nyangores,Operational,No,No,No,No,,Yes,Yes,No,,
24141,Ganjoni Hospital,Ganjoni Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,77,17,94,Mombasa,Mvita,Mvita,Shimanzi/Ganjoni,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24190,Siha Medical Home Limited(Mpeketoni),Siha Medical Home Limited (Mpeketoni),34010,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,55,2,57,Lamu,Lamu West,Lamu West,Bahari,Operational,Yes,No,No,No,,Yes,Yes,No,,
24112,Joyellen Women Hospital,Joyellen Women Hospital,15451,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,24,6,30,Nakuru,Nakuru Town West,Nakuru West,Shaabab,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24098,Oasis Health Siaya,Oasis Health Siaya,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Company,Private Practice,Kenya MPDB,29,5,34,Siaya,Alego Usonga,Alego Usonga,Siaya Township,Operational,No,No,No,No,,Yes,Yes,No,,
24092,The Kitui Family Care Hospital,The Kitui Family Care Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,0,0,0,Kitui,Kitui Central,Kitui Central,Township,Operational,Yes,No,No,No,,Yes,Yes,No,,
24082,Diani Beach Hospital,Diani Beach Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,0,0,0,Mombasa,Likoni,Likoni,Timbwani,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24073,Jesse Kay Children Hospital,Jesse Kay Children's Hospital,,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,46,2,48,Nairobi,Roysambu,Roysambu,Roysambu,Operational,No,Yes,Yes,Yes,,Yes,Yes,No,,
24052,Oljabet Hosp.,Oljabet hospital,14708,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,37,12,49,Laikipia,Laikipia West,Laikipia West,Igwamiti,Operational,Yes,No,No,No,,Yes,Yes,No,,
24035,Antaliya Hospital,Antaliya Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,10,0,10,Garissa,Garissa Township,Garissa,Iftin,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24022,Premier Hospital Limited,Premier Hospital Limited,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,70,0,70,Mombasa,Nyali,Nyali,Ziwa La Ng'ombe,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24016,Melrose arc hospital,Melrose Arc hospital,14765,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Ministry of Health,24,5,29,Kisumu,Nyando,Nyando,Kabonyo/Kanyagwai,Operational,Yes,No,No,No,,Yes,Yes,No,,
24014,Phadam Hospital Nasra,Phadam Hospital Nasra,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,,16,3,19,Nairobi,Embakasi Central,Embakasi Central,Komarock,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24013,Phadam Hospital Umoja,Phadam Hospital Umoja,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,0,3,3,Nairobi,Embakasi West,Embakasi West,Umoja I,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
24001,Rheema Hospital,Rheema Hospital,5922,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,5,1,6,Nairobi,Embakasi East,Embakasi East,Embakasi,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
23999,Nairobi Women Hospital(Naivasha Branch),Nairobi Women Hospital(Naivasha Branch),A11093,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,80,10,90,Nakuru,Naivasha,Naivasha,Viwandani,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
23985,Mediheal Hospital Eastleigh,Mediheal Hospital (Eastleigh),15043,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,,70,5,75,Nairobi,Kamukunji,Kamukunji,Eastleigh South,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
23974,Chuka Nursing Home,Chuka Nursing Home,15194,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,10,0,10,Tharaka Nithi,Chuka/Igambang'ombe,Chuka,Karingani,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
23966,St Joel Community Hospital,St Joel Community Hospital,15262,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,25,10,35,Kiambu,Limuru,Limuru,Ngecha Tigoni,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
23963,Quintet Medical Centre,Quintet Medical Centre,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,0,Kirinyaga,Kirinyaga Central,Kirinyaga Central,Kanyekini,Operational,No,Yes,Yes,Yes,,Yes,Yes,No,,
23961,Gynocare Kisii,The Nairobi Family And Maternity Hospitial Gynocare Kisii,5808,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,80,2,82,Kisii,Kitutu Chache South,Kitutu Chache South,Kitutu Central,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
23904,Wendo Hospital Gatukuyu,Wendo Hospital Gatukuyu,15287,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,6,1,7,Kiambu,Gatundu North,Gatundu North,Mang'u,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
23887,Kibunga sub-district Hospital,Kibunga sub-district Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,35,1,36,Tharaka Nithi,Tharaka,Tharaka South,Marimanti,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,-0.0765,37.90707
23879,Oasis Mental Health Limited,Oasis Mental Health Limited,14611,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,21,0,21,Nairobi,Westlands,Westlands,Kitisuru,Operational,Yes,No,No,No,,Yes,Yes,No,,
23878,International Health Care Limited,International Health Care Limited,6264,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Medical Specialist,Private Practice,Kenya MPDB,12,0,12,Nairobi,Kamukunji,Kamukunji,Eastleigh North,Operational,No,No,No,No,,Yes,Yes,No,,
23860,Dokatah Nursing Home,Dokatah Nursing Home,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Nurse / Midwifery,Private Practice,Nursing Council of Kenya (Private Practice),12,0,12,Kwale,Kinango,Kinango,Mackinon Road,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
23855,Drive-In Nursing Hospital-Ruaraka,Drive-In Nursing Hospital (Ruaraka),,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,,30,0,30,Nairobi,Ruaraka,Ruaraka,Utalii,Operational,No,Yes,Yes,Yes,,Yes,Yes,No,,
23853,Life Bridge Cottage Hospital,Life Bridge Cottage Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,,20,0,20,Nairobi,Roysambu,Roysambu,Roysambu,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
23828,Kabarnet Bliss Medical Center,Kabarnet Bliss Medical Center,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,0,0,0,Baringo,Baringo Central,Baringo Central,Kabarnet,Operational,No,No,No,No,,Yes,Yes,No,,
23825,Bethany Hill Crest Hospital,Bethany Hill Crest Hospital,2370,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Clinical Officer,Private Practice,Clinical Officers Council,3,0,3,Narok,Narok North,Narok North,Olposimoru,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
