Code,Name,Officialname,Registration_number,Keph level,Facility type,Facility_type_category,Owner,Owner type,Regulatory body,Beds,Cots,Beds and Cots,County,Constituency,Sub county,Ward,Operation status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Service_names,Approved,Public visible,Closed,latitude,longitude
15761,Unilever Central Hospital,Unilever Central Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - Private Institution Academic,Private Practice,Kenya MPDB,85,0,85,Kericho,Ainamoi,Ainamoi,Kipchebor,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
15764,Valley Hospital,Valley Hospital,,Level 4,Primary care hospitals,HOSPITALS,Private Practice - General Practitioner,Private Practice,Kenya MPDB,58,10,68,Nakuru,Nakuru Town East,Nakuru East,Biashara,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
15769,Catholic Hospital Wamba,Catholic Hospital Wamba,,Level 4,Primary care hospitals,HOSPITALS,Kenya Episcopal Conference-Catholic Secretariat,Faith Based Organization,Kenya MPDB,178,16,194,Samburu,Samburu East,Samburu East,Wamba East,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
15788,Ziwa Sub County Hospital,Ziwa Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,20,4,24,Uasin Gishu,Soy,Soy,Ziwa,Operational,No,No,No,No,,Yes,Yes,No,,
15795,Alupe Sub County Referral Hospital,Alupe Sub County Referral Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,133,0,133,Busia,Teso South,Teso South,Ang'orom,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
15808,Bokoli Hospital,Bokoli Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,14,0,14,Bungoma,Webute West,Webuye West,Bokoli,Operational,Yes,No,Yes,No,,Yes,Yes,No,0.71026,34.66171
15825,Bumula Sub County Hospital,Bumula Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,51,0,51,Bungoma,Bumula,Bumula,Bumula,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
15828,Bungoma County Referral Hospital,Bungoma County Referral Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,223,22,245,Bungoma,Kanduyi,Kanduyi,Township,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
15834,Busia County Referral Hospital,Busia County Referral Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,210,1,211,Busia,Matayos,Matayos,Burumba,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
15836,Butere Sub County Hospital,Butere Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,108,2,110,Kakamega,Butere,Butere,Marama Central,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
15855,Cheptais Sub County Hospital,Cheptais Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,14,0,14,Bungoma,Mt. Elgon,Cheptais,Cheptais,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
15860,Chwele Sub County Hospital,Chwele Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,24,2,26,Bungoma,Kabuchai,Kabuchai,Kabuchai/Chwele,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
15864,Dreamland Mc Hospital,Dreamland MC Hospital,,Level 4,Primary care hospitals,HOSPITALS,Other Faith Based,Faith Based Organization,Kenya MPDB,20,0,20,Bungoma,Kimilili,Kimilili,Kibingei,Operational,Yes,No,Yes,No,,Yes,Yes,No,0.80792,34.69675
15876,Emuhaya Sub County Referral Hospital,Emuhaya Sub County Referral Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,22,3,25,Vihiga,Luanda,Luanda,Emabungo,Operational,Yes,No,Yes,No,,Yes,Yes,No,0.1126,34.633
15894,Hamisi Sub County Hospital,Hamisi Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,16,4,20,Vihiga,Hamisi,Hamisi,Gisambai,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
15899,Iguhu Sub County Hospital,Iguhu Sub County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,21,4,25,Kakamega,Ikolomani,Ikolomani,Idakho East,Operational,Yes,No,No,No,,Yes,Yes,No,,
15915,Kakamega County General Hospital,Kakamega County General Hospital,,Level 4,Secondary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,449,79,528,Kakamega,Lurambi,Lurambi,Shirere,Operational,Yes,No,Yes,No,,Yes,Yes,No,,
15946,Kima Mission Hospital,Kima Mission Hospital,,Level 4,Primary care hospitals,HOSPITALS,Christian Health Association of Kenya,Faith Based Organization,Kenya MPDB,38,2,40,Vihiga,Luanda,Luanda,Emabungo,Operational,No,No,No,No,,Yes,Yes,No,0.04,34.64
15950,Kimilili Subcounty Hospital,Kimilili Subcounty Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,78,0,78,Bungoma,Kimilili,Kimilili,Kibingei,Operational,Yes,Yes,Yes,Yes,,Yes,Yes,No,,
15961,Likuyani Sub-County Hospital,Likuyani Sub-County Hospital,,Level 4,Primary care hospitals,HOSPITALS,Ministry of Health,Ministry of Health,Ministry of Health,75,3,78,Kakamega,Likuyani,Likuyani,Likuyani,Operational,Yes,No,No,No,,Yes,Yes,No,,
